,X1,Y1,Y2,X3,Y3,H,omega,phi,kappa,b1,b2,b3,b4,b5,b6,b7,b8,b9,det,dX1,dX2,dX3,dX4,dX5,dX6,dX7,dX8,dX9,SE
0,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671185326444,0.01387682537835746,2.4315384150514063,-4.7102912967905165e-11,-2.9605532030909215e-09,-4.038213590678512e-09,-1.5618096746439214e-09,8.588909028439673e-10,-9.299475633994803e-10,1.6906906222247109e-09,-3.04756628266567e-09,1.972835918934157e-09,0.0034909276803456626,-1.3257887915035701e-09,-4.5438400876032955e-10,-4.779354652407036e-10,-3.343511093025654e-09,-1.0248858733492867e-09,4.161059006392078e-09,2.7434076419716578e-09,-7.1123917213579624e-09,1.787965085518358e-10,4.515418506051073e-17
1,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.4736711893002634,0.013876824470353676,2.431538415461597,1.644858308697879e-10,-9.818845004656588e-10,-1.2928451519221715e-09,-7.47314578275482e-10,2.7908759747674594e-09,-8.20039869342537e-11,3.492463644672039e-09,-2.3262397008672053e-09,4.482191392346513e-09,0.00349092754496826,3.7796707308597327e-10,2.1655788381618174e-09,2.2478217536403494e-09,-2.683134246427241e-10,2.106498032040707e-09,5.852619810043819e-09,-1.671946930065016e-09,-6.103498983260859e-09,-2.7697039864741127e-10,4.8715526919842494e-17
2,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.4736711880759223,0.013876825438362165,2.4315384148872865,6.490216070669098e-12,-3.1519545369585007e-09,-3.6346777953643746e-09,-1.6239806721607408e-09,2.6706318267955e-09,-1.2952888484019098e-09,3.095550808740466e-09,-2.2433001012345244e-09,3.540870294888032e-09,0.0034909276137301565,4.0330022142131073e-10,1.682248556539475e-09,1.6854936645748774e-09,-1.4140432486370487e-09,1.6819149073645188e-09,4.6438995961882355e-09,-3.1156692003172674e-10,-7.179063913458144e-09,3.611520681023708e-10,6.174569557962486e-17
3,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671192687312,0.013876824023053569,2.431538414696512,-1.3068847079791208e-12,-2.6499457772805136e-09,-3.1129151725453297e-09,-5.563681459985759e-11,-1.0926970439584238e-10,-4.473549308769975e-11,-1.072657865308635e-10,-2.1892215817942429e-10,-2.0632569264211753e-10,0.0034909275071143614,-4.997864182661114e-10,2.2729801708732396e-09,2.272326728519253e-09,-2.056118454471112e-09,2.2195747935566484e-09,2.5229055114099728e-09,-5.4353317635288915e-09,-5.606498150693946e-09,5.731235832381224e-10,1.683149494146303e-17
4,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671192325875,0.013876825192650401,2.4315384146441446,1.5527230039359374e-12,-3.4382157267734744e-09,-3.9509357205622404e-09,-1.2206775104606216e-09,-1.1694638868409157e-09,-1.1757281259683339e-09,-1.1201893648782324e-09,-1.3234944806761462e-09,-1.1437763791644073e-09,0.0034909275288946937,-6.359981498676915e-10,1.003436534189036e-09,1.0042128956910076e-09,-2.6114936579605335e-09,1.0123787817647488e-09,2.18334630344059e-09,-5.033738122410628e-09,-6.9060506548478354e-09,6.313096255801079e-10,3.598594511525922e-17
5,0.03245207,0.08904134,0.24404134,0.30245126,0.08969941,-0.36324324,2.473671188895775,0.01387681928206168,2.4315384154115964,3.842847858922276e-10,1.0113298640835587e-09,8.290958968753475e-10,-5.071739993256497e-09,-1.5091051741578099e-09,-4.619893717583423e-09,-9.818344748335761e-10,-6.1111888882692256e-09,-7.198418215670355e-10,0.0034909275044913597,3.1396461352428162e-09,-4.235573824190264e-09,-4.043431431005965e-09,3.554441846344541e-09,-4.336723624255057e-09,1.0223910171499072e-09,-1.2225130934944225e-09,-3.3872983596296445e-10,-2.2141439929215526e-10,9.003002665665903e-17
6,0.03245207,0.08904134,0.24404133,0.30245126,0.0896994,-0.36324324,2.473671188581106,0.013876822088048153,2.431538413230689,2.9315790834298775e-09,5.895469892905178e-09,4.794494379701109e-09,-1.3966850870295033e-09,1.672672028663058e-09,-1.765171120382547e-09,1.713573283268488e-09,-2.3101473789477467e-09,1.468449788849524e-09,0.0034909273506839806,1.2458180568472453e-09,2.005338659464751e-09,3.471128215041232e-09,3.6437525640231035e-09,1.7262674785999331e-09,-1.932800546843571e-09,-8.728810695721665e-10,-3.456492477598079e-09,2.201816123103091e-09,8.463174666153836e-17
7,0.03245207,0.08904134,0.24404134,0.30245127,0.0896994,-0.36324325,2.473671190906026,0.013876824867766195,2.43153841464658,-1.5903430006594756e-11,-2.631891757051009e-09,-3.440420582168502e-09,-3.41932891723129e-10,1.6905084554430516e-09,-1.5164322575422773e-10,1.965246680668553e-09,-1.1552443723861217e-09,1.9094015951681698e-09,0.0034909275517530807,-1.6730830141106752e-10,2.669434580579955e-09,2.661482865577066e-09,-1.886636442333174e-09,2.305403009937685e-09,4.217680288253516e-09,-3.45612657023588e-09,-6.545068241522564e-09,6.286038837328704e-10,3.0603932057850736e-17
8,0.03245207,0.08904134,0.24404134,0.30245126,0.08969941,-0.36324325,2.4736711874197663,0.013876818929687562,2.431538415291383,5.460461831800543e-11,9.152298426096212e-11,6.787754514837308e-11,-4.588205967936965e-09,-2.4235411177908617e-09,-3.888210947655679e-09,-1.4924245519964963e-09,-6.015864001396309e-09,-1.141368551754729e-09,0.0034909275599325955,1.8994361604398993e-09,-5.343342827487511e-09,-5.316040518323699e-09,1.9333884697663224e-09,-5.3488554998686345e-09,1.6475834478168601e-09,4.174945357130487e-10,5.2796863479235347e-11,-8.784398295724112e-11,8.178000830706253e-17
9,0.03245207,0.08904133,0.24404133,0.30245126,0.0896994,-0.36324324,2.4736711905300552,0.013876823990154928,2.43153841506121,1.5898796616149246e-11,-9.380099412459212e-11,-1.2249871898743718e-10,-1.7315206005119599e-09,1.6879826147953025e-09,-2.93844906740226e-09,-3.5651016860871465e-11,9.435954795300461e-11,2.2254063522519907e-10,0.003490927506973732,1.7338782222297164e-09,3.1504176624409925e-09,3.158367060749475e-09,1.6726400707559385e-09,3.1457444562719346e-09,-2.9706954312581026e-09,-3.038381226882437e-09,-5.569944258373409e-09,1.6790398756706229e-10,1.4565688207571407e-17
