,X,Y,Z,omega,phi,kappa,c,b1,b2,b3,b4,b5,b6,b7,SE
64,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.39022459,1.7207803544971867e-05,-0.00019254402614848898,0.00011954048559387198,5.56865985251731e-06,-0.0005683131416386877,-0.00021159999554271058,0.0003333902598841587,0.0008254816300349251
94,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207792609830186e-05,-0.00019254402103902057,0.00011954048633722181,5.568680309792073e-06,-0.0005683131486817206,-0.00021160000354780717,0.00033339025705830805,0.0008254816300349276
7,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.7207809778096994e-05,-0.00019254402252050218,0.00011954049389811816,5.568695374630339e-06,-0.0005683131546853626,-0.00021160002320702587,0.0003333902597631444,0.0008254816300349319
74,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.39022462,1.7207801573271286e-05,-0.00019254401062501758,0.00011954049299306435,5.568694033231125e-06,-0.0005683131480284931,-0.00021160001254494354,0.00033339026134343586,0.0008254816300349359
31,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.3902246,1.720779879982315e-05,-0.00019254401835211432,0.00011954049390833221,5.568693844743011e-06,-0.0005683131494036708,-0.0002116000083079994,0.0003333902604773509,0.0008254816300349569
77,0.09841212,-0.11115395,-0.36870385,2.63951214,0.04394569,-0.30115317,1036.39022458,1.7207802585739174e-05,-0.00019254402022950146,0.00011954049265222588,5.568692174190426e-06,-0.0005683131496348193,-0.0002116000102439508,0.00033339026087697565,0.0008254816300349636
23,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394569,2.84043948,1036.3902246,1.7207800165119913e-05,-0.0001925440185331917,0.0001195404929927868,5.568692666602093e-06,-0.0005683131497321858,-0.0002116000102787563,0.0003333902603963601,0.0008254816300349889
90,0.09841212,-0.11115395,0.36870385,2.63951214,0.04394568,2.84043948,1036.39022597,1.72070765129817e-05,-0.00019254358871595434,0.00011953980002599174,5.569055626680752e-06,-0.0005683145232882325,-0.00021159884903132475,0.00033338720077313866,0.0008254816300450608
22,0.09841213,-0.11115395,-0.36870385,2.63951214,0.04394567,-0.30115317,1036.39022731,1.7206947457104604e-05,-0.00019254331034501693,0.00011953915072743238,5.56602134826889e-06,-0.0005683125027570457,-0.0002115979446227212,0.0003333902567553282,0.0008254816300490831
66,0.09841213,-0.11115395,-0.36870385,2.63951214,0.04394567,-0.30115317,1036.39022397,1.720755388529005e-05,-0.00019254287647274548,0.00011953935419273254,5.566159140019122e-06,-0.0005683120202830128,-0.00021159759257827204,0.0003333898691111892,0.0008254816300558083
